target,feature_set,n_features,model,auc,sensitivity,specificity,f1,sens@90spec,sens@95spec,n_train_pos,n_train_neg,n_test_pos,n_test_neg
MI,F2: +β_summary,6,GBM,0.7493963584398946,0.2249488752556237,0.9512595837897043,0.31976744186046513,0.3619631901840491,0.22699386503067484,2043,7242,489,1826
MI,F3: +regional,10,LogReg,0.787225869456633,0.7137014314928425,0.7135815991237678,0.5128581925055107,0.46421267893660534,0.34151329243353784,2043,7242,489,1826
MI,F3: +regional,10,RF,0.7569261989396515,0.7198364008179959,0.6391018619934282,0.4693333333333333,0.38445807770961143,0.26380368098159507,2043,7242,489,1826
MI,F3: +regional,10,GBM,0.7694369222567907,0.2883435582822086,0.9534501642935378,0.3944055944055944,0.4069529652351738,0.294478527607362,2043,7242,489,1826
MI,F4: +all_leads,22,LogReg,0.8082872482680303,0.7239263803680982,0.7415115005476451,0.538403041825095,0.4723926380368098,0.36809815950920244,2043,7242,489,1826
MI,F4: +all_leads,22,RF,0.813020066882141,0.6482617586912065,0.8039430449069004,0.5446735395189003,0.48466257668711654,0.3456032719836401,2043,7242,489,1826
MI,F4: +all_leads,22,GBM,0.8176330531271769,0.36809815950920244,0.943592552026287,0.46632124352331605,0.4887525562372188,0.3476482617586912,2043,7242,489,1826
MI,F5: +R²,36,LogReg,0.830411439399539,0.7280163599182005,0.7595837897042717,0.5545171339563862,0.5255623721881391,0.39059304703476483,2043,7242,489,1826
MI,F5: +R²,36,RF,0.837015658842845,0.6421267893660532,0.8515881708652793,0.5847299813780261,0.5541922290388548,0.4233128834355828,2043,7242,489,1826
MI,F5: +R²,36,GBM,0.8439883348228385,0.44785276073619634,0.9507119386637459,0.5488721804511278,0.5848670756646217,0.4498977505112474,2043,7242,489,1826
MI,F6: +derived,41,LogReg,0.833205661463478,0.7341513292433538,0.7656078860898138,0.5626959247648903,0.5419222903885481,0.40081799591002043,2043,7242,489,1826
MI,F6: +derived,41,RF,0.8377312932712445,0.65439672801636,0.8450164293537787,0.5860805860805861,0.5603271983640081,0.4274028629856851,2043,7242,489,1826
MI,F6: +derived,41,GBM,0.843404851979026,0.4335378323108384,0.9496166484118291,0.5346784363177806,0.5869120654396728,0.4294478527607362,2043,7242,489,1826
MI,F7: +specparam,54,LogReg,0.8413565024179259,0.7300613496932515,0.7782037239868566,0.5707434052757794,0.558282208588957,0.4110429447852761,2043,7242,489,1826
MI,F7: +specparam,54,RF,0.8409712469509942,0.6441717791411042,0.8603504928806134,0.5949008498583569,0.588957055214724,0.4458077709611452,2043,7242,489,1826
MI,F7: +specparam,54,GBM,0.8455954324828594,0.4376278118609407,0.952354874041621,0.5417721518987342,0.5930470347648262,0.4376278118609407,2043,7242,489,1826
STTC,F0: age+sex,2,LogReg,0.7419142456050652,0.7082494969818913,0.6319824753559693,0.462853385930309,0.3607645875251509,0.26180720687762943,1903,7242,497,1826
STTC,F0: age+sex,2,RF,0.7116229689197617,0.7686116700201208,0.5481927710843374,0.44835680751173707,0.2884162115550446,0.2093417648749641,1903,7242,497,1826
STTC,F0: age+sex,2,GBM,0.7129827155705316,0.06237424547283702,0.9945235487404163,0.11524163568773234,0.2884162115550446,0.21234071093226026,1903,7242,497,1826
STTC,F1: +β_mean,3,LogReg,0.7426828220142322,0.6961770623742455,0.6566265060240963,0.4707482993197279,0.36016096579476864,0.2595573440643863,1903,7242,497,1826
STTC,F1: +β_mean,3,RF,0.7216122584356082,0.710261569416499,0.6078860898138007,0.4508301404853129,0.32193158953722334,0.22937625754527163,1903,7242,497,1826
STTC,F1: +β_mean,3,GBM,0.7141380594630212,0.13279678068410464,0.9720700985761227,0.21498371335504887,0.29979879275653926,0.18712273641851107,1903,7242,497,1826
STTC,F2: +β_summary,6,LogReg,0.7479102434982292,0.676056338028169,0.6927710843373494,0.48206599713055953,0.4225352112676056,0.2837022132796781,1903,7242,497,1826
STTC,F2: +β_summary,6,RF,0.7379281163431851,0.6297786720321932,0.6976998904709748,0.45961820851688695,0.386317907444668,0.20724346076458752,1903,7242,497,1826
STTC,F2: +β_summary,6,GBM,0.7313486615200513,0.16297786720321933,0.9698795180722891,0.2559241706161137,0.352112676056338,0.24949698189134809,1903,7242,497,1826
STTC,F3: +regional,10,LogReg,0.7612608840336653,0.6780684104627767,0.7174151150054765,0.49925925925925924,0.40040241448692154,0.2977867203219316,1903,7242,497,1826
STTC,F3: +regional,10,RF,0.7469791365939338,0.635814889336016,0.7371303395399781,0.48878576952822894,0.36217303822937624,0.22535211267605634,1903,7242,497,1826
STTC,F3: +regional,10,GBM,0.7389605982003742,0.18309859154929578,0.9687842278203724,0.28217054263565894,0.3561368209255533,0.24949698189134809,1903,7242,497,1826
STTC,F4: +all_leads,22,LogReg,0.7639803773352051,0.670020120724346,0.731106243154436,0.5041635124905375,0.4024144869215292,0.30784708249496984,1903,7242,497,1826
STTC,F4: +all_leads,22,RF,0.7609303135350989,0.5995975855130785,0.7694414019715224,0.4901315789473684,0.3682092555331992,0.2454728370221328,1903,7242,497,1826
STTC,F4: +all_leads,22,GBM,0.7515509265891075,0.19718309859154928,0.9660460021905805,0.2983257229832572,0.36619718309859156,0.24949698189134809,1903,7242,497,1826
STTC,F5: +R²,36,LogReg,0.7898045446832143,0.6881287726358148,0.7420591456736035,0.5221374045801527,0.45875251509054327,0.2977867203219316,1903,7242,497,1826
STTC,F5: +R²,36,RF,0.7996698702620983,0.5694164989939637,0.8340635268346112,0.5226223453370268,0.44466800804828976,0.29979879275653926,1903,7242,497,1826
STTC,F5: +R²,36,GBM,0.7988192021791207,0.2776659959758551,0.9616648411829135,0.39148936170212767,0.4688128772635815,0.317907444668008,1903,7242,497,1826
STTC,F6: +derived,41,LogReg,0.79276094684206,0.6941649899396378,0.7497261774370209,0.5311778290993071,0.4507042253521127,0.3038229376257545,1903,7242,497,1826
STTC,F6: +derived,41,RF,0.7955939360147742,0.5915492957746479,0.8291347207009858,0.5330915684496826,0.45875251509054327,0.3058350100603622,1903,7242,497,1826
STTC,F6: +derived,41,GBM,0.801356881706449,0.2857142857142857,0.9644030668127054,0.4034090909090909,0.448692152917505,0.323943661971831,1903,7242,497,1826
STTC,F7: +specparam,54,LogReg,0.8315721271770821,0.7122736418511066,0.7792990142387732,0.5645933014354066,0.5171026156941649,0.3762575452716298,1903,7242,497,1826
