gene,age,mean,std,cv,fano,bc,entropy,frac_detected,n_cells,n_nonzero
Jup,18-month-old stage,135.35897827148438,198.18243408203125,1.4641247987747192,290.163818359375,0.7785616517066956,2.775319135328339,0.39,300,117
Jup,20-month-old stage and over,542.1846313476562,799.9575805664062,1.4754339456558228,1180.2845458984375,0.6770389080047607,2.8568582195146432,0.5306122448979592,735,390
Pkp2,3-month-old stage,81.6543197631836,85.19623565673828,1.0433769226074219,88.89178466796875,0.6770195960998535,3.641204467983188,0.3951219512195122,615,243
Pkp2,18-month-old stage,527.0908813476562,674.216552734375,1.2791277170181274,862.4090576171875,0.7927072644233704,2.2998963911678914,0.11,300,33
Pkp2,20-month-old stage and over,340.125,385.6556091308594,1.1338642835617065,437.2811584472656,0.6817312240600586,3.4945133544955165,0.35918367346938773,735,264
Ryr2,3-month-old stage,603.165283203125,511.8907775878906,0.8486741185188293,434.4284362792969,0.5622912645339966,4.304321129539943,0.5902439024390244,615,363
Ryr2,18-month-old stage,637.3809814453125,1242.0435791015625,1.9486674070358276,2420.330078125,0.8375316858291626,2.0063309305961794,0.21,300,63
Ryr2,20-month-old stage and over,1293.345458984375,1652.8135986328125,1.2779366970062256,2112.191162109375,0.7273308038711548,3.421481151020621,0.4489795918367347,735,330
Atp2a2,3-month-old stage,3954.34130859375,3811.135986328125,0.9637852907180786,3673.116943359375,0.6433643698692322,3.9019029875460483,0.8146341463414634,615,501
Atp2a2,18-month-old stage,769.2459106445312,1280.3365478515625,1.6644047498703003,2130.998291015625,0.7092256546020508,2.6257989194106357,0.61,300,183
Atp2a2,20-month-old stage and over,10346.2314453125,15798.392578125,1.5269707441329956,24123.68359375,0.6161215305328369,2.6788024945887234,0.6693877551020408,735,492
Gapdh,3-month-old stage,1534.03076171875,1410.3800048828125,0.919394850730896,1296.6961669921875,0.535565972328186,4.030819009067429,0.9512195121951219,615,585
Gapdh,18-month-old stage,3021.515869140625,5395.9814453125,1.7858524322509766,9636.4267578125,0.6945205926895142,2.333454989358926,0.95,300,285
Gapdh,20-month-old stage and over,3549.0380859375,5638.29541015625,1.5886826515197754,8957.462890625,0.6713780164718628,2.668387831272936,0.963265306122449,735,708
Actb,3-month-old stage,933.2277221679688,2508.716796875,2.6882150173187256,6743.970703125,0.6933696269989014,1.3601213047152565,0.9853658536585366,615,606
Actb,18-month-old stage,2849.67041015625,7911.20263671875,2.776181697845459,21962.935546875,0.9268640875816345,1.4627635633620977,0.91,300,273
Actb,20-month-old stage and over,1250.471435546875,6904.703125,5.521679878234863,38125.55859375,0.9149193167686462,0.478994844366329,0.8571428571428571,735,630
