gene,age,subset,n_cells,n_nonzero,frac_detected,mean,cv,fano,bc,entropy,median
Cacna1c,20-month-old stage and over,raw,735,210,0.2857142857142857,73.57142639160156,1.194634199142456,104.99751281738281,0.6347848176956177,3.2161952032179135,44.0
Dsp,3-month-old stage,raw,615,351,0.5707317073170731,344.6068420410156,0.7360079884529114,186.67620849609375,0.47505679726600647,4.306056034370405,327.0
Dsp,18-month-old stage,raw,300,75,0.25,139.1199951171875,2.6444289684295654,972.8667602539062,0.8950477838516235,1.3354312795575998,6.0
Dsp,20-month-old stage and over,raw,735,318,0.4326530612244898,525.7830200195312,1.1608566045761108,708.5390014648438,0.6404812335968018,3.28485707162115,406.0
Jup,3-month-old stage,raw,615,408,0.6634146341463415,170.3014678955078,1.813963532447815,560.3707885742188,0.8360788822174072,2.5228745815272644,68.0
Jup,18-month-old stage,raw,300,117,0.39,135.35897827148438,1.4641247987747192,290.163818359375,0.7785616517066956,2.775319135328339,43.0
Jup,20-month-old stage and over,raw,735,390,0.5306122448979592,542.1846313476562,1.4754339456558228,1180.2845458984375,0.6770389080047607,2.8568582195146432,234.0
Pkp2,3-month-old stage,raw,615,243,0.3951219512195122,81.6543197631836,1.0433769226074219,88.89178466796875,0.6770195960998535,3.641204467983188,57.0
Pkp2,18-month-old stage,raw,300,33,0.11,527.0908813476562,1.2791277170181274,862.4090576171875,0.7927072644233704,2.2998963911678914,91.0
Pkp2,20-month-old stage and over,raw,735,264,0.35918367346938773,340.125,1.1338642835617065,437.2811584472656,0.6817312240600586,3.4945133544955165,215.0
Ryr2,3-month-old stage,raw,615,363,0.5902439024390244,603.165283203125,0.8486741185188293,434.4284362792969,0.5622912645339966,4.304321129539943,477.0
Ryr2,18-month-old stage,raw,300,63,0.21,637.3809814453125,1.9486674070358276,2420.330078125,0.8375316858291626,2.0063309305961794,92.0
Ryr2,20-month-old stage and over,raw,735,330,0.4489795918367347,1293.345458984375,1.2779366970062256,2112.191162109375,0.7273308038711548,3.421481151020621,747.0
Atp2a2,3-month-old stage,raw,615,501,0.8146341463414634,3954.34130859375,0.9637852907180786,3673.116943359375,0.6433643698692322,3.9019029875460483,2994.0
Atp2a2,18-month-old stage,raw,300,183,0.61,769.2459106445312,1.6644047498703003,2130.998291015625,0.7092256546020508,2.6257989194106357,299.0
Atp2a2,20-month-old stage and over,raw,735,492,0.6693877551020408,10346.2314453125,1.5269707441329956,24123.68359375,0.6161215305328369,2.6788024945887234,1840.0
Gapdh,3-month-old stage,raw,615,585,0.9512195121951219,1534.03076171875,0.919394850730896,1296.6961669921875,0.535565972328186,4.030819009067429,1270.0
Gapdh,18-month-old stage,raw,300,285,0.95,3021.515869140625,1.7858524322509766,9636.4267578125,0.6945205926895142,2.333454989358926,1133.0
Gapdh,20-month-old stage and over,raw,735,708,0.963265306122449,3549.0380859375,1.5886826515197754,8957.462890625,0.6713780164718628,2.668387831272936,594.0
Actb,3-month-old stage,raw,615,606,0.9853658536585366,933.2277221679688,2.6882150173187256,6743.970703125,0.6933696269989014,1.3601213047152565,41.0
Actb,18-month-old stage,raw,300,273,0.91,2849.67041015625,2.776181697845459,21962.935546875,0.9268640875816345,1.4627635633620977,115.0
Actb,20-month-old stage and over,raw,735,630,0.8571428571428571,1250.471435546875,5.521679878234863,38125.55859375,0.9149193167686462,0.478994844366329,130.0
